Comment,Designator,Footprint,LCSC
1k,"R33,R6,R9",R_0402_1005Metric,C11702
TPD4E05U06,U8,USON-10_2.5x1.0mm_P0.5mm,C138714
TUSB321,U5,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,C139392
10n,"C1,C2,C20",C_0402_1005Metric,C15195
100n,"C12,C13,C14,C15,C16,C17,C18,C19,C23,C24,C25,C27,C28,C29,C30,C38,C43,C7,C8",C_0402_1005Metric,C1525
22p,"C36,C5,C6",C_0402_1005Metric,C1555
1u,"C11,C119,C21,C22,C3,C31,C32,C4,C40,C41,C42,C44,C9",C_0603_1608Metric,C15849
1N5819WS,D141,D_SOD-323,C191023
4u7,"C10,C26,C35,C37",C_0603_1608Metric,C19666
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,C2040
10u,L1,L_Sunlord_SWPA3012S,C206385
1N4148,"D1,D10,D11,D12,D13,D14,D142,D143,D144,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D7,D8,D9",D_SOD-323,C2128
TPS259533,"U14,U9",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C2155777
BOOT_SEL,SW69,SW_SPDT_PCM12,C221841
560k,R30,R_0603_1608Metric,C23203
60R@100MHz,FB1,L_0805_2012Metric,C237300
27,"R7,R8",R_0402_1005Metric,C25100
51,R29,R_0402_1005Metric,C25125
39,R11,R_0402_1005Metric,C25164
100k,R26,R_0402_1005Metric,C25741
10k,"R1,R10,R13,R14,R15,R2,R23,R24,R27,R3,R34,R36,R37,R38,R4,R5",R_0402_1005Metric,C25744
12k,R18,R_0402_1005Metric,C25752
15k,"R28,R35",R_0402_1005Metric,C25756
330k,R17,R_0402_1005Metric,C25778
4k7,R21,R_0402_1005Metric,C25900
6k8,R19,R_0402_1005Metric,C25917
1M,"R12,R16,R25",R_0402_1005Metric,C26083
USB In,J2,HRO-TYPE-C-31-M-13x,C2848620
0.005,R31,R_0805_2012Metric,C2939747
100n,"C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C33,C34,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99",C_0402_1005Metric,C307331
SSD1351,J6,HRS_FH34SRJ-30S-0.5SH(50),C324727
SN74AHCT1G125,U3,SOT-353_SC-70-5,C350557
2k,"R20,R22,R32",R_0402_1005Metric,C4109
Trackpad,J3,HRS_FH34SRJ-12S-0.5SH(50),C424659
BSS138BKS,Q2,SOT-363_SC-70-6,C456075
22u,"C120,C121,C122",C_0805_2012Metric,C45783
PER56,SW67,PER56,C470483
5V,D145,D_SOD-523,C502546
CPG151101S11,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29,SW3,SW30,SW31,SW32,SW33,SW34,SW35,SW36,SW37,SW38,SW39,SW4,SW40,SW41,SW42,SW43,SW44,SW45,SW46,SW47,SW48,SW49,SW5,SW50,SW51,SW52,SW53,SW54,SW55,SW56,SW57,SW58,SW59,SW6,SW60,SW61,SW62,SW63,SW64,SW7,SW8,SW9",MXOnly-1U-Hotswap,C5184526
SK6812MINI-E,"D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138,D67,D68,D69,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",YS-SK6812MINI-E,C524051
XC6206P332MR,U7,SOT-23-3,C5446
74HC595,"U10,U11",SOIC-16_3.9x9.9mm_P1.27mm,C5947
TPS61040DBV,U12,SOT-23-5,C7722
Reset,SW68,Panasonic_EVQPUL_EVQPUC,C79174
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
AP2127K-ADJ,U6,SOT-23-5,C96343
10u,C39,C_0603_1608Metric,C96446
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
Ariamelon Logo,A1,Ariamelon_Logo_x3_CU,
OLED_Breakout,J4,OLED_1.5_SSD1351_128x128,
INA180A4,U13,SOT-23-5,
